district_name,district_id,District,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2007 Total Recapture,2008 Total Recapture,2009 Total Recapture,2010 Total Recapture,2011 Total Recapture,2012 Total Recapture,2013 Total Recapture,2014 Total Recapture,2015 Total Recapture,2016 Total Recapture
WHITE OAK ISD,92908,92908,406065,1682463,1230037,538184,296756,241169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDERSON-SHIRO CISD,93901,93901,583922,1209063,1067098,2041,534285,384903,0,433169,0,0,1013698,373471,325597,0,0,0,0,0,0,0
IOLA ISD,93903,93903,365188,685536,545883,144859,144024,92353,0,0,0,0,0,0,0,0,0,0,0,0,17769,21539
NAVASOTA ISD,93904,93904,914463,2732296,1936170,0,0,216191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RICHARDS ISD,93905,93905,213062,318022,161436,301572,474868,505366,357803,286589,69795,213805,0,0,210051,391811,408089,356614,182957,21177,5818,113450
MARION ISD,94904,94904,450715,1121501,1153228,0,0,0,0,0,0,0,0,0,0,0,0,0,23622,29513,28431,47998
ABERNATHY ISD,95901,95901,376059,2018759,503936,2424943,571558,0,0,980788,0,836646,0,0,0,135969,45078,159033,682837,796428,211019,312721
GRUVER ISD,98901,98901,493444,1734352,1893022,885868,3019898,1586193,1402512,1440813,1169662,1574697,285518,1136437,1818845,1773145,1682323,465696,276765,108716,0,0
PRINGLE-MORSE CISD,98903,98903,153461,507568,214667,335477,422972,388223,166247,462489,405657,352169,1080225,916890,1068824,1188851,1159063,1165349,1259586,975866,607776,365887
SPEARMAN ISD,98904,98904,417304,2430784,1615565,1437160,793789,1642944,500590,495403,0,0,0,0,0,0,0,0,0,0,0,0
CHILLICOTHE ISD,99902,99902,157361,542613,385715,411141,234944,280257,0,0,86786,852759,0,0,55,2613,268,2080,1713,3210,716456,320449
QUANAH ISD,99903,99903,718775,1293451,967188,581431,191935,278818,0,0,0,168852,0,0,0,0,0,0,0,0,0,0
HARDIN-JEFFERSON ISD,100905,100905,563510,2338221,2037824,2666897,1530298,2658182,974800,1665042,404705,56279,0,0,0,0,0,0,0,0,0,0
DEER PARK ISD,101908,101908,8549081,21448453,22777065,22147589,12923577,7969182,3045320,0,0,0,28066393,20896379,21692911,9888063,4024,0,2353879,1977797,2488759,2752152
GOOSE CREEK CISD,101911,101911,14889324,41514004,40447785,27769729,28268572,18571448,4363519,353108,0,0,0,0,0,0,0,0,0,0,0,0
HOUSTON ISD,101912,101912,167420051,313644815,256885770,168841585,219756279,164339400,22395463,0,0,0,0,0,0,0,0,0,0,0,0,0
LA PORTE ISD,101916,101916,5889148,11367726,13641475,4149252,7702921,5878006,0,0,0,0,23929995,17384867,19044383,16335703,15895595,17414723,16802316,17778691,20835112,24533513
SPRING BRANCH ISD,101920,101920,28591560,53599216,43344181,25223440,35044000,31677631,6701445,0,0,0,18664604,6455903,5180322,0,2642844,6120709,0,0,7992117,28544499
TOMBALL ISD,101921,101921,8674358,18253653,17463720,11296263,13270508,10757798,5132004,2718808,0,0,0,0,9669,0,0,0,0,0,0,0
